order_month,total_orders,total_revenue,product_revenue,freight_revenue,avg_item_price,avg_order_value,avg_review_score
2016-09-01,1,143.46,134.97,8.49,44.99,143.46,1.0
2016-10-01,265,46490.66,40325.11,6165.55,128.83,175.44,4.01
2016-12-01,1,19.62,10.9,8.72,10.9,19.62,5.0
2017-01-01,750,127482.37,111798.36,15684.01,122.45,169.98,4.2
2017-02-01,1653,271239.32,234223.4,37015.92,126.06,164.09,4.2
2017-03-01,2546,414330.95,359198.85,55132.1,123.99,162.74,4.19
2017-04-01,2303,390812.4,340669.68,50142.72,132.61,169.7,4.14
2017-05-01,3546,566851.4,489338.25,77513.15,122.21,159.86,4.24
2017-06-01,3135,490050.37,421923.37,68127.0,120.93,156.32,4.22
2017-07-01,3872,566299.08,481604.52,84694.56,109.06,146.25,4.26
2017-08-01,4193,645832.36,554699.7,91132.66,115.63,154.03,4.31
2017-09-01,4150,701077.49,607399.67,93677.82,128.22,168.93,4.27
2017-10-01,4478,751117.01,648247.65,102869.36,124.33,167.73,4.21
2017-11-01,7289,1153364.2,987765.37,165598.83,116.55,158.23,3.99
2017-12-01,5513,843078.29,726033.19,117045.1,117.35,152.93,4.09
2018-01-01,7069,1077887.46,924645.0,153242.46,115.05,152.48,4.11
2018-02-01,6555,966168.41,826437.13,139731.28,109.93,147.39,3.88
2018-03-01,7003,1120598.24,953356.25,167241.99,118.92,160.02,3.81
2018-04-01,6798,1132878.93,973534.09,159344.84,124.38,166.65,4.21
2018-05-01,6749,1128774.52,977544.69,151229.83,125.17,167.25,4.24
2018-06-01,6099,1011978.29,856077.86,155900.43,122.12,165.93,4.31
2018-07-01,6159,1027807.28,867953.46,159853.82,124.65,166.88,4.32
2018-08-01,6351,985491.64,838576.64,146915.0,117.41,155.17,4.31
